epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7722,2.03603,4.41953,0.01462,0.00653,0.09232,0.00279,0.00191,1.58493,3.58798,0.01675,8.574e-05,8.574e-05,8.574e-05
2,25.9177,1.35446,4.01872,0.00697,0.01958,0.45269,0.0551,0.03058,0.86705,3.29323,0.0069,0.000183931,0.000183931,0.000183931
3,28.7106,0.87918,3.50466,0.00446,0.01753,0.46875,0.11258,0.07811,0.89327,3.23317,0.00669,0.000280141,0.000280141,0.000280141
4,31.4242,0.8648,3.19564,0.00405,0.01512,0.42579,0.1127,0.07728,0.75364,3.2303,0.00597,0.000374371,0.000374371,0.000374371
5,34.1664,0.7899,2.84978,0.00387,0.01854,0.6307,0.12003,0.09881,0.61742,3.03399,0.00444,0.00046662,0.00046662,0.00046662
6,36.7754,0.78303,2.40952,0.0037,0.01771,0.61823,0.16703,0.13514,0.61783,2.84708,0.00481,0.000556888,0.000556888,0.000556888
7,39.4757,0.82168,2.44953,0.00411,0.83183,0.2211,0.29626,0.24778,0.64421,2.36788,0.00492,0.000645176,0.000645176,0.000645176
8,42.0909,0.80054,2.23906,0.00379,0.876,0.16862,0.32552,0.26816,0.68423,2.21689,0.00531,0.000731484,0.000731484,0.000731484
9,44.7924,0.83165,2.1631,0.00424,0.87922,0.1748,0.44337,0.35518,0.68655,2.11931,0.00633,0.00081581,0.00081581,0.00081581
10,47.4454,0.77437,2.01638,0.00408,0.9027,0.14996,0.47292,0.38554,0.675,2.06052,0.00582,0.000898157,0.000898157,0.000898157
11,49.9729,0.74905,1.99033,0.00405,0.83042,0.16101,0.4769,0.38167,0.68541,2.05009,0.00566,0.000978522,0.000978522,0.000978522
12,52.6066,0.76317,1.92497,0.00375,0.57489,0.32709,0.49383,0.39431,0.68326,1.95943,0.00526,0.00105691,0.00105691,0.00105691
13,55.1678,0.75288,1.81618,0.00367,0.5406,0.38865,0.49785,0.39526,0.70058,1.87753,0.00522,0.00113331,0.00113331,0.00113331
14,57.7392,0.71996,1.71143,0.00334,0.59334,0.41215,0.53102,0.42197,0.67984,1.69633,0.00527,0.00120774,0.00120774,0.00120774
15,60.341,0.79469,1.67086,0.0038,0.57517,0.43596,0.57526,0.44349,0.75222,1.54219,0.00619,0.00123094,0.00123094,0.00123094
16,62.9533,0.83527,1.6645,0.00375,0.3883,0.44494,0.6089,0.48011,0.64639,1.48204,0.00482,0.00121679,0.00121679,0.00121679
17,65.4617,0.81687,1.59983,0.00385,0.43674,0.44897,0.61557,0.47274,0.69869,1.45579,0.00487,0.00120265,0.00120265,0.00120265
18,68.0419,0.73272,1.44481,0.00318,0.5775,0.50917,0.60944,0.47904,0.65638,1.36703,0.00476,0.0011885,0.0011885,0.0011885
19,70.5807,0.74486,1.43794,0.00345,0.54796,0.62247,0.60087,0.47329,0.6819,1.26753,0.00553,0.00117435,0.00117435,0.00117435
20,73.2038,0.73667,1.44588,0.00352,0.53814,0.6501,0.58656,0.47042,0.66361,1.16156,0.00505,0.00116021,0.00116021,0.00116021
21,75.6872,0.76294,1.39343,0.00385,0.53657,0.64062,0.58559,0.48089,0.62754,1.128,0.00495,0.00114606,0.00114606,0.00114606
22,78.2399,0.70785,1.35334,0.00359,0.53753,0.67063,0.59603,0.49353,0.60704,1.08551,0.00462,0.00113191,0.00113191,0.00113191
23,80.8308,0.69613,1.29243,0.00304,0.55504,0.65517,0.61694,0.51544,0.5933,1.04629,0.00423,0.00111776,0.00111776,0.00111776
24,83.389,0.71274,1.27808,0.00304,0.53551,0.66996,0.62438,0.509,0.62706,0.97184,0.0044,0.00110362,0.00110362,0.00110362
25,85.9169,0.68075,1.23905,0.00315,0.52771,0.691,0.62803,0.50679,0.64011,0.94058,0.00433,0.00108947,0.00108947,0.00108947
26,88.5049,0.67044,1.20536,0.00303,0.52193,0.73149,0.65132,0.5341,0.60583,0.86416,0.00446,0.00107532,0.00107532,0.00107532
27,91.0819,0.65099,1.34429,0.00341,0.53941,0.73804,0.6705,0.55359,0.62015,0.81983,0.00486,0.00106118,0.00106118,0.00106118
28,93.6859,0.67569,1.13145,0.0029,0.57272,0.71871,0.69207,0.57473,0.59679,0.77884,0.00477,0.00104703,0.00104703,0.00104703
29,96.2673,0.68963,1.1722,0.00325,0.57533,0.7534,0.70293,0.58596,0.58005,0.75011,0.00455,0.00103288,0.00103288,0.00103288
30,98.8425,0.67941,1.11316,0.00307,0.61073,0.7198,0.70629,0.59017,0.59664,0.72908,0.0047,0.00101873,0.00101873,0.00101873
31,101.418,0.68606,1.11046,0.00337,0.63974,0.71065,0.71312,0.59005,0.62194,0.71447,0.00461,0.00100459,0.00100459,0.00100459
32,104,0.73244,1.14206,0.00355,0.63206,0.7269,0.7166,0.60334,0.57132,0.67641,0.00436,0.00099044,0.00099044,0.00099044
33,106.476,0.69336,1.05949,0.00347,0.61749,0.73653,0.71482,0.59683,0.60247,0.66736,0.00487,0.000976293,0.000976293,0.000976293
34,109.048,0.63613,1.07142,0.00313,0.60208,0.76983,0.71992,0.59819,0.59473,0.65249,0.00482,0.000962146,0.000962146,0.000962146
35,111.605,0.66861,1.08697,0.00323,0.60831,0.74589,0.71797,0.60483,0.59289,0.65577,0.00488,0.000947999,0.000947999,0.000947999
36,114.17,0.61755,1.02922,0.0034,0.60109,0.74995,0.71381,0.6095,0.54632,0.63364,0.00392,0.000933851,0.000933851,0.000933851
37,116.749,0.61945,1.00103,0.00297,0.61239,0.748,0.70947,0.60706,0.53143,0.61696,0.00384,0.000919704,0.000919704,0.000919704
38,119.342,0.65945,1.02246,0.00324,0.58948,0.80274,0.69988,0.59561,0.57591,0.60864,0.00454,0.000905557,0.000905557,0.000905557
39,121.942,0.70079,0.9806,0.00326,0.60607,0.82456,0.69305,0.58875,0.56527,0.59445,0.00427,0.00089141,0.00089141,0.00089141
40,124.531,0.67157,0.96795,0.00338,0.6012,0.82599,0.69479,0.57492,0.61455,0.58527,0.00522,0.000877263,0.000877263,0.000877263
41,127.06,0.6896,0.99129,0.00341,0.60799,0.83689,0.70129,0.59461,0.56558,0.56848,0.00448,0.000863116,0.000863116,0.000863116
42,129.674,0.65477,0.90731,0.00303,0.60769,0.84579,0.70832,0.60074,0.59019,0.57031,0.00439,0.000848969,0.000848969,0.000848969
43,132.248,0.65508,0.94028,0.00314,0.60646,0.83481,0.70782,0.60979,0.52846,0.54983,0.00387,0.000834822,0.000834822,0.000834822
44,134.848,0.64494,0.91331,0.00281,0.5973,0.85031,0.69435,0.59504,0.5519,0.56266,0.00401,0.000820675,0.000820675,0.000820675
45,137.399,0.59364,0.87082,0.00271,0.60415,0.84739,0.69496,0.59767,0.54424,0.56211,0.00391,0.000806528,0.000806528,0.000806528
46,139.978,0.57738,0.8628,0.0024,0.61713,0.84298,0.70785,0.61344,0.52667,0.55104,0.00388,0.00079238,0.00079238,0.00079238
47,142.52,0.62167,0.87568,0.0032,0.61328,0.84357,0.7168,0.60472,0.58822,0.56831,0.00495,0.000778233,0.000778233,0.000778233
48,145.136,0.60813,0.91709,0.00313,0.60336,0.84131,0.7189,0.61861,0.52812,0.55424,0.00415,0.000764086,0.000764086,0.000764086
49,147.669,0.69874,0.92651,0.00373,0.60915,0.83777,0.72378,0.61616,0.55373,0.55618,0.00465,0.000749939,0.000749939,0.000749939
50,150.246,0.65702,0.87011,0.00298,0.63581,0.81167,0.73511,0.6441,0.50133,0.54377,0.00356,0.000735792,0.000735792,0.000735792
51,152.815,0.62761,0.86266,0.00291,0.65605,0.81939,0.7527,0.65615,0.51506,0.52508,0.0039,0.000721645,0.000721645,0.000721645
52,155.436,0.63087,0.88323,0.00314,0.67278,0.81265,0.77462,0.67673,0.49747,0.51213,0.00367,0.000707498,0.000707498,0.000707498
53,157.966,0.62898,0.82773,0.00279,0.6759,0.81862,0.78379,0.67167,0.53024,0.52214,0.00409,0.000693351,0.000693351,0.000693351
54,160.587,0.60837,0.82968,0.00273,0.68689,0.83386,0.80763,0.70057,0.49888,0.49947,0.0034,0.000679204,0.000679204,0.000679204
55,163.171,0.58928,0.75496,0.00258,0.67858,0.85684,0.82518,0.72343,0.47576,0.47459,0.00348,0.000665057,0.000665057,0.000665057
56,165.762,0.545,0.73334,0.00261,0.66553,0.89479,0.81363,0.71197,0.48949,0.47367,0.00338,0.000650909,0.000650909,0.000650909
57,168.289,0.58197,0.78872,0.00282,0.66926,0.86723,0.81271,0.7052,0.50266,0.47427,0.00348,0.000636762,0.000636762,0.000636762
58,170.879,0.57944,0.81172,0.00303,0.67564,0.86646,0.80945,0.70064,0.52201,0.47343,0.0035,0.000622615,0.000622615,0.000622615
59,173.42,0.57796,0.73922,0.00277,0.68821,0.87571,0.82059,0.71588,0.49317,0.45924,0.0035,0.000608468,0.000608468,0.000608468
60,176.013,0.59042,0.7318,0.00277,0.7244,0.85784,0.83925,0.72543,0.51745,0.45139,0.00395,0.000594321,0.000594321,0.000594321
61,178.545,0.60397,0.75181,0.00267,0.73778,0.85145,0.84487,0.72583,0.52711,0.45105,0.0039,0.000580174,0.000580174,0.000580174
62,181.157,0.6069,0.75601,0.00279,0.7433,0.8513,0.84887,0.73482,0.50762,0.45162,0.00352,0.000566027,0.000566027,0.000566027
63,183.704,0.56808,0.73818,0.00246,0.73916,0.8584,0.84853,0.74561,0.48628,0.44526,0.00325,0.00055188,0.00055188,0.00055188
64,186.282,0.56438,0.69363,0.00253,0.76,0.84428,0.8654,0.75232,0.51208,0.43835,0.00362,0.000537733,0.000537733,0.000537733
65,188.776,0.56481,0.71528,0.0027,0.76666,0.85082,0.87758,0.76155,0.50998,0.43843,0.00359,0.000523586,0.000523586,0.000523586
66,191.365,0.5488,0.74075,0.00254,0.8026,0.86605,0.90547,0.79021,0.48257,0.41951,0.00343,0.000509438,0.000509438,0.000509438
67,193.961,0.56343,0.75672,0.00259,0.81657,0.86264,0.92328,0.81263,0.47387,0.40177,0.00318,0.000495291,0.000495291,0.000495291
