epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0056,2.31697,4.14959,1.51451,0.00829,0.13635,0.00139,0.00056,1.43105,3.86118,0.99608,0.00010003,0.00010003,0.00010003
2,33.0718,1.45723,3.36107,0.98607,0.02534,0.41375,0.05828,0.01566,1.31101,3.75922,0.93574,0.000212228,0.000212228,0.000212228
3,35.7543,1.10615,2.66449,0.8856,0.03997,0.55583,0.15701,0.06665,1.03036,3.5796,0.86366,0.000322162,0.000322162,0.000322162
4,38.3829,1.04359,2.18401,0.863,0.05259,0.65038,0.33655,0.21129,0.94858,3.39123,0.85201,0.000429833,0.000429833,0.000429833
5,40.9111,0.92376,1.71451,0.84434,0.05549,0.69866,0.41948,0.28467,0.89097,3.22753,0.83712,0.000535241,0.000535241,0.000535241
6,43.4892,0.92618,1.30323,0.84792,0.05582,0.69141,0.43579,0.28294,0.84968,3.11897,0.84857,0.000638384,0.000638384,0.000638384
7,46.0622,0.81839,1.02532,0.83909,0.06031,0.69657,0.43252,0.29509,0.78122,2.96828,0.84878,0.000739265,0.000739265,0.000739265
8,48.751,0.78345,0.95842,0.83016,0.05985,0.81528,0.48142,0.37169,0.68629,2.66336,0.83515,0.000837881,0.000837881,0.000837881
9,51.3873,0.7138,0.87107,0.8307,0.05363,0.95308,0.64165,0.49939,0.66035,2.43113,0.83758,0.000934234,0.000934234,0.000934234
10,53.9118,0.6951,0.82517,0.82283,0.65987,0.59421,0.67471,0.53622,0.61937,2.28239,0.82661,0.00102832,0.00102832,0.00102832
11,56.4407,0.68194,0.80718,0.82043,0.75312,0.37629,0.6978,0.56844,0.58816,1.73893,0.82959,0.00112015,0.00112015,0.00112015
12,58.9725,0.64175,0.7623,0.82368,0.69415,0.6132,0.70472,0.57744,0.5949,1.29626,0.83479,0.00120971,0.00120971,0.00120971
13,61.5287,0.63585,0.73765,0.82011,0.67229,0.82264,0.71667,0.59311,0.57826,1.08243,0.83516,0.00125923,0.00125923,0.00125923
14,64.0276,0.62016,0.73659,0.8149,0.65796,0.8502,0.71498,0.59021,0.53397,1.01616,0.83101,0.00124509,0.00124509,0.00124509
15,66.5561,0.60089,0.70398,0.81391,0.66136,0.9032,0.71943,0.61361,0.48941,0.77067,0.81877,0.00123094,0.00123094,0.00123094
16,69.0938,0.58237,0.67609,0.80728,0.67926,0.918,0.7232,0.61373,0.47931,0.62724,0.81842,0.00121679,0.00121679,0.00121679
17,71.6398,0.60582,0.67349,0.80971,0.65626,0.91687,0.71106,0.59771,0.5032,0.63127,0.81874,0.00120265,0.00120265,0.00120265
18,74.2173,0.53092,0.64561,0.80736,0.69076,0.90517,0.72128,0.61095,0.49937,0.6228,0.81777,0.0011885,0.0011885,0.0011885
19,76.7285,0.53947,0.65254,0.80378,0.68761,0.91776,0.7152,0.62032,0.49384,0.66503,0.82525,0.00117435,0.00117435,0.00117435
20,79.2896,0.62388,0.66807,0.81902,0.68416,0.90728,0.72176,0.61952,0.47766,0.64082,0.82313,0.00116021,0.00116021,0.00116021
21,81.7694,0.57445,0.6576,0.81156,0.69079,0.91513,0.73576,0.64114,0.44846,0.57814,0.81771,0.00114606,0.00114606,0.00114606
22,84.2806,0.56191,0.61993,0.8079,0.68155,0.92257,0.74973,0.66242,0.4233,0.57063,0.81295,0.00113191,0.00113191,0.00113191
23,86.7657,0.48696,0.61244,0.80413,0.65402,0.93249,0.75907,0.66728,0.40627,0.53239,0.81093,0.00111776,0.00111776,0.00111776
24,89.2019,0.51028,0.59248,0.79823,0.67937,0.92291,0.76729,0.67584,0.42649,0.52855,0.81146,0.00110362,0.00110362,0.00110362
25,91.7142,0.51316,0.58501,0.79785,0.69185,0.94667,0.76496,0.683,0.37233,0.49317,0.81032,0.00108947,0.00108947,0.00108947
26,94.1148,0.48053,0.56087,0.79536,0.72002,0.87984,0.80481,0.70528,0.42002,0.51795,0.81189,0.00107532,0.00107532,0.00107532
27,96.5894,0.5179,0.58736,0.80219,0.77505,0.83626,0.82419,0.73091,0.38072,0.50009,0.81076,0.00106118,0.00106118,0.00106118
28,99.1258,0.51184,0.57254,0.80961,0.77073,0.85128,0.83457,0.74895,0.35515,0.48615,0.8095,0.00104703,0.00104703,0.00104703
29,101.595,0.46356,0.55285,0.79656,0.76963,0.86146,0.84757,0.76116,0.37544,0.47888,0.8096,0.00103288,0.00103288,0.00103288
30,103.962,0.46929,0.57195,0.8072,0.811,0.83884,0.85046,0.75604,0.39948,0.48345,0.80731,0.00101873,0.00101873,0.00101873
31,106.464,0.46516,0.54297,0.79395,0.82049,0.83847,0.86186,0.77836,0.3605,0.46128,0.80405,0.00100459,0.00100459,0.00100459
32,108.777,0.48316,0.55162,0.79103,0.822,0.83433,0.87257,0.78806,0.35283,0.44859,0.80465,0.00099044,0.00099044,0.00099044
